dataset,Self_role,new_caseID,source_caseID,Other_role,test_case_index,negotiate_alignment,self_init_label,other_init_label,negotiate_final_label,self_v0_model_seed,other_v0_model_seed,selected_model_seed,model_self_sacrifice,label_self_sacrifice,selection_score,settled
acs_coverage,community_members,0,907,judges,435,self,1,0,1,393,69,385,0.03265134855480856,0.0,0.32111024334338995,1
acs_coverage,community_members,1,913,judges,673,self,1,0,1,393,139,534,0.018662334509474077,0.0,0.31848036410328756,1
acs_coverage,community_members,2,6,defendants,1030,other,1,0,0,1,2,7,0.14763888888888899,0.4216249999999999,0.4159347677951387,1
acs_coverage,community_members,3,630,judges,923,self,1,0,1,173,15,173,0.0,0.0,0.31422320785089786,1
acs_coverage,community_members,4,203,fairness_advocates,39,other,1,0,0,173,116,447,0.1099964981965712,0.4049166666666666,0.335168417568381,1
acs_coverage,community_members,5,221,defendants,82,other,1,0,0,12,2,28,0.08656551932367129,0.46534936998854515,0.35671724033816427,1
acs_coverage,community_members,6,95,fairness_advocates,194,other,1,0,0,12,533,109,0.01975773307376172,0.4207070707070707,0.3487069920489777,1
acs_coverage,community_members,7,644,judges,777,self,1,0,1,173,36,173,0.0,0.0,0.3060091632744622,1
acs_coverage,community_members,8,550,defendants,1085,other,1,0,0,393,15,260,0.08269544793515449,0.4792550505050504,0.35865227603242267,1
acs_coverage,community_members,9,840,defendants,291,other,1,0,0,68,7,202,0.06771130104463441,0.4208635930912552,0.456140051381699,1
acs_coverage,community_members,10,906,judges,633,self,1,0,1,393,69,385,0.029318015221475258,0.0,0.32907517705950856,1
acs_coverage,community_members,11,443,judges,22,self,1,0,1,12,92,28,0.10656551932367142,0.0,0.30590560137232864,1
acs_coverage,community_members,12,933,judges,88,self,1,0,1,393,260,537,0.006245848742189697,0.0,0.340599500131082,1
acs_coverage,community_members,13,952,judges,421,self,1,0,1,393,275,393,0.0,0.0,0.3296344201305779,1
acs_coverage,community_members,14,937,judges,292,self,1,0,1,393,260,534,0.018662334509474077,0.0,0.3341064713203719,1
acs_coverage,community_members,15,892,judges,232,self,1,0,1,393,17,537,0.0029125154088563976,0.0,0.3274303489267467,1
acs_coverage,community_members,16,926,judges,499,self,1,0,1,68,33,68,0.0,0.0,0.31437624716553286,1
acs_coverage,community_members,17,854,judges,1185,self,1,0,1,12,430,12,0.0,0.0,0.30877431855368315,1
acs_coverage,community_members,18,482,defendants,136,other,1,0,0,12,533,216,0.12836707765520228,0.42819727891156456,0.33581646117239883,1
acs_coverage,community_members,19,961,judges,531,self,1,0,1,393,275,393,0.0,0.0,0.3621211616027358,1
acs_coverage,defendants,0,12,community_members,200,self,0,1,0,2,1,7,0.03527336860670183,0.0,-0.03428081163700498,1
acs_coverage,defendants,1,361,community_members,36,other,0,1,1,93,68,216,0.12771719553328753,0.4946168582375478,0.38942297739006265,1
acs_coverage,defendants,2,414,fairness_advocates,411,other,1,0,0,67,7,15,0.004868747551260322,0.0,-0.06953317080538035,1
acs_coverage,defendants,3,366,community_members,810,self,0,1,0,93,68,192,0.08113763631005022,0.0,-0.04056881815502511,1
acs_coverage,defendants,4,392,fairness_advocates,1159,self,0,1,0,93,109,41,0.020968006025477326,0.0,0.08986825065631122,1
acs_coverage,defendants,5,374,fairness_advocates,434,self,0,1,0,93,199,217,0.03089537778622664,0.0,0.22654423807233112,1
acs_coverage,defendants,6,21,community_members,789,self,0,1,0,15,1,67,0.05813803878320012,0.0,0.01884302165160648,1
acs_coverage,defendants,7,341,community_members,76,self,0,1,0,15,393,128,0.08188150285157147,0.0,0.02663944919149823,1
acs_coverage,defendants,8,301,community_members,278,other,0,1,1,15,393,541,0.14105928864313277,0.6963703703703703,0.3294703556784335,1
acs_coverage,defendants,9,417,judges,1024,self,0,1,0,7,147,7,0.0,0.0,0.3380819868406804,1
acs_coverage,defendants,10,33,community_members,1008,other,0,1,1,217,12,28,0.14040458937198075,0.6500802393580851,0.3297977053140096,1
acs_coverage,defendants,11,209,community_members,726,other,0,1,1,89,12,118,0.09954671088999445,0.47321637426900576,0.4147491301061124,1
acs_coverage,defendants,12,391,fairness_advocates,1024,self,0,1,0,7,68,217,0.007823296329043328,0.0,0.1462933957651222,1
acs_coverage,defendants,13,390,fairness_advocates,389,self,0,1,0,93,109,93,0.0,0.0,0.061554793897087144,1
acs_coverage,defendants,14,13,community_members,1221,other,0,1,1,15,1,82,0.08793696399808448,0.505949074074074,0.35603151800095767,1
acs_coverage,defendants,15,370,community_members,1200,self,0,1,0,93,68,88,0.06318891836133234,0.0,0.04342199033628717,1
acs_coverage,defendants,16,402,judges,285,self,0,1,0,92,202,183,0.03010752688172036,0.0,-0.01505376344086018,1
acs_coverage,defendants,17,328,fairness_advocates,351,other,0,1,0,91,28,217,0.00026838432635534204,0.0,-0.36145089347987897,1
acs_coverage,defendants,18,372,fairness_advocates,1008,self,0,1,0,217,109,217,0.0,0.0,0.10599679834553705,1
acs_coverage,defendants,19,288,community_members,426,self,0,1,0,15,393,62,0.13016054280028322,0.0,-0.06508027140014161,1
acs_coverage,fairness_advocates,0,50,community_members,386,self,0,1,0,116,173,184,0.006101975850896446,0.0,0.08088158325987783,1
acs_coverage,fairness_advocates,1,401,judges,976,other,0,1,1,15,385,62,0.05010513377126302,0.0,0.3911966789541891,1
acs_coverage,fairness_advocates,2,219,community_members,109,other,0,1,1,183,12,393,0.027924750146972266,0.20847822567589447,0.4069071068060961,1
acs_coverage,fairness_advocates,3,49,community_members,312,other,0,1,1,116,173,68,0.13575833220775346,0.24610635114919088,0.3504946920661446,1
acs_coverage,fairness_advocates,4,168,community_members,1214,other,0,1,1,540,12,393,0.131628453850676,0.2782858033348916,0.35292642457333395,1
acs_coverage,fairness_advocates,5,145,community_members,647,self,0,1,0,430,12,8,0.14043218689162884,0.0,-0.07021609344581442,1
acs_coverage,fairness_advocates,6,411,community_members,531,other,0,1,1,275,393,393,0.04373047524094387,0.0,0.4242636907001277,1
acs_coverage,fairness_advocates,7,0,community_members,838,self,0,1,0,202,12,28,0.1245108695652174,0.0,-0.018448083932024163,1
acs_coverage,fairness_advocates,8,361,defendants,434,other,1,0,0,199,93,217,0.08365584942912263,0.0,0.373213647640954,1
acs_coverage,fairness_advocates,9,53,community_members,822,other,0,1,1,116,173,68,0.13575833220775346,0.2889522086537011,0.3480022276528216,1
