dataset,Condition,n,self_utility_mean,self_utility_sem,other_utility_mean,other_utility_sem,avg_utility_mean,avg_utility_sem,Nash_utility_mean,Nash_utility_sem
acs_coverage,single,80,0.43210159951032556,0.03283992683208561,0.4249188754493921,0.03063316154626333,0.4285102374798588,0.016247544130244665,0.14565176126964227,0.010937513075785022
acs_coverage,self_optimal,80,0.7639660443457033,0.01892965699180887,0.38532931169694506,0.02873038103077842,0.5746476780213242,0.017917799441965206,0.29834523588263145,0.02462109383584835
acs_coverage,multi_optimal,80,0.7551580573135783,0.02033802656319495,0.39152132466482015,0.02906433960451853,0.5733396909891992,0.017975407185175485,0.29700703369472164,0.024705747624538508
acs_coverage,aggregate,80,0.6933359965711811,0.027189921253824644,0.45349625158588547,0.031546495039665244,0.5734161240785333,0.017818972966378435,0.29608108145215206,0.02499128488421264
acs_coverage,negotiate,80,0.5904910621504857,0.032062902137096484,0.6763918921666001,0.026594419036251107,0.6334414771585429,0.016136935635348057,0.37200260983944705,0.024122102979225155
compas,single,80,0.44517745277887644,0.031150840453662842,0.42693701629911895,0.03359217012062355,0.43605723453899764,0.01927964130508834,0.165889109493701,0.015856908023931693
compas,self_optimal,80,0.7786579207044991,0.0191416498677213,0.4784699231553919,0.036175373222570514,0.6285639219299456,0.02302801235127865,0.3901852279299175,0.03303438726986586
compas,multi_optimal,80,0.7384219159715285,0.024714140537770827,0.5344982683656535,0.03660907294390989,0.636460092168591,0.023156960859875737,0.4023469074488677,0.03337574534942742
compas,aggregate,80,0.6762860101158186,0.029850363679875105,0.597567620172449,0.0354963015361456,0.6369268151441337,0.022352407020905376,0.398102427796741,0.032200237124977486
compas,negotiate,80,0.6246842103351258,0.03326827218396573,0.7874119221421478,0.022145732497972567,0.7060480662386368,0.020070320284680313,0.49243914991377746,0.031963016442172205
pooled,single,160,0.438639526144601,0.022566707942318995,0.42592794587425553,0.022659717558419987,0.4322837360094282,0.012570276918210487,0.15577043538167165,0.009634738372683707
pooled,self_optimal,160,0.7713119825251012,0.01343069384553624,0.43189961742616856,0.02331968748015583,0.6016057999756349,0.014699195092450656,0.3442652319062745,0.020855699444472908
pooled,multi_optimal,160,0.7467899866425534,0.01596670577853078,0.46300979651523677,0.023978046027557928,0.6048998915788951,0.014824077431800677,0.3496769705717947,0.021114324746657812
pooled,aggregate,160,0.6848110033434998,0.020136475973928397,0.5255319358791672,0.024349177185339854,0.6051714696113335,0.014468718134728888,0.34709175462444647,0.020714920734481813
pooled,negotiate,160,0.6075876362428058,0.023069105117180008,0.731901907154374,0.01780226420797694,0.6697447716985898,0.013154872806818369,0.43222087987661223,0.020522252962597527
