dataset,case,case_ID,high_disagreement,self,other,self_model_pred,other_model_pred,condition,final_modelling_label,aggregate_self_share,multioptimal_self_own_prob,multioptimal_chose_self_model,self_u,other_u,total_utility,worst_stakeholder_utility,utility_variance,joint_mean,joint_min,joint_nash,self_n,other_n,total_utility_n,worst_stakeholder_utility_n,utility_variance_n,joint_n,band_self,band_other,consensus,settled,rounds,how
compas,0,compas_0,1,judges,defendants,1,0,single,1,,,,0.7029645192969755,0.6534224279222148,1.3563869472191903,0.6534224279222148,0.0006136047044462827,0.6781934736095951,0.6534224279222148,0.45933278294220237,1,0.658005956689151,1.658005956689151,0.658005956689151,0.02923998141502572,0.8290029783445755,0.19764724237504705,0.4388308289819588,0,0,,
compas,0,compas_0,1,judges,defendants,1,0,singleoptimal,1,,,,0.7029645192969755,0.6534224279222148,1.3563869472191903,0.6534224279222148,0.0006136047044462827,0.6781934736095951,0.6534224279222148,0.45933278294220237,1,0.658005956689151,1.658005956689151,0.658005956689151,0.02923998141502572,0.8290029783445755,0.19764724237504705,0.4388308289819588,0,0,,
compas,0,compas_0,1,judges,defendants,1,0,multioptimal,1,,0.8,1,0.7029645192969755,0.6534224279222148,1.3563869472191903,0.6534224279222148,0.0006136047044462827,0.6781934736095951,0.6534224279222148,0.45933278294220237,1,0.658005956689151,1.658005956689151,0.658005956689151,0.02923998141502572,0.8290029783445755,0.19764724237504705,0.4388308289819588,0,0,,
compas,0,compas_0,1,judges,defendants,1,0,aggregate,1,0.7,,,0.6720930144284335,0.7027675998095627,1.3748606142379962,0.6720930144284335,0.00023523254707604656,0.6874303071189981,0.6720930144284335,0.472325194598644,0.8438050311374368,0.770452869322485,1.6142579004599218,0.770452869322485,0.0013451349107317162,0.8071289502299609,0.19764724237504705,0.4388308289819588,0,0,,
compas,0,compas_0,1,judges,defendants,1,0,negotiatev2,1,,,,0.7029645192969755,0.6534224279222147,1.3563869472191903,0.6534224279222147,0.0006136047044462854,0.6781934736095951,0.6534224279222147,0.45933278294220226,1,0.6580059566891507,1.6580059566891507,0.6580059566891507,0.02923998141502576,0.8290029783445754,0.19764724237504705,0.4388308289819588,0,0,2,impasse
compas,0,compas_0,1,defendants,judges,0,1,single,1,,,,0.6534224279222148,0.7029645192969755,1.3563869472191903,0.6534224279222148,0.0006136047044462827,0.6781934736095951,0.6534224279222148,0.45933278294220237,0.658005956689151,1,1.658005956689151,0.658005956689151,0.02923998141502572,0.8290029783445755,0.4388308289819588,0.19764724237504705,0,0,,
compas,0,compas_0,1,defendants,judges,0,1,singleoptimal,0,,,,0.8034999574552066,0.6090724725894748,1.4125724300446816,0.6090724725894748,0.009450511717803593,0.7062862150223408,0.6090724725894748,0.4893897058127805,1,0.5249513953281724,1.5249513953281724,0.5249513953281724,0.056417794200162595,0.7624756976640862,0.4388308289819588,0.19764724237504705,0,0,,
compas,0,compas_0,1,defendants,judges,0,1,multioptimal,0,,0.8,1,0.8034999574552066,0.6090724725894748,1.4125724300446816,0.6090724725894748,0.009450511717803593,0.7062862150223408,0.6090724725894748,0.4893897058127805,1,0.5249513953281724,1.5249513953281724,0.5249513953281724,0.056417794200162595,0.7624756976640862,0.4388308289819588,0.19764724237504705,0,0,,
compas,0,compas_0,1,defendants,judges,0,1,aggregate,1,0.7,,,0.7625738691816167,0.6346767999241306,1.3972506691057474,0.6346767999241306,0.00408941508116355,0.6986253345528737,0.6346767999241306,0.4839879429979511,0.9067383475118781,0.654496978797888,1.5612353263097662,0.654496978797888,0.01590642702267677,0.7806176631548831,0.4388308289819588,0.19764724237504705,0,0,,
compas,0,compas_0,1,defendants,judges,0,1,negotiatev2,1,,,,0.753055919005405,0.6843592770019903,1.4374151960073953,0.6843592770019903,0.0011798071556363317,0.7187075980036977,0.6843592770019903,0.5153608042726083,0.885049009508228,0.9058664210468435,1.7909154305550714,0.885049009508228,0.00010834115579202037,0.8954577152775357,0.4388308289819588,0.19764724237504705,1,1,2,other_accepts
compas,0,compas_0,1,defendants,community_members,0,1,single,1,,,,0.6534224279222148,0.7451941248599633,1.3986165527821781,0.6534224279222148,0.002105511089708487,0.6993082763910891,0.6534224279222148,0.4869265543393673,0.658005956689151,0.8447606846161597,1.5027666413053107,0.658005956689151,0.008719332100772767,0.7513833206526553,0.4388308289819588,0.46175053782410336,0,0,,
compas,0,compas_0,1,defendants,community_members,0,1,singleoptimal,0,,,,0.8034999574552066,0.44334277146776235,1.246842728922969,0.44334277146776235,0.03242829965459863,0.6234213644614846,0.44334277146776235,0.35622589801242044,1,0.19104979818252776,1.1910497981825277,0.19104979818252776,0.16360010725513224,0.5955248990912638,0.4388308289819588,0.46175053782410336,0,0,,
compas,0,compas_0,1,defendants,community_members,0,1,multioptimal,0,,0.8,1,0.8034999574552066,0.44334277146776235,1.246842728922969,0.44334277146776235,0.03242829965459863,0.6234213644614846,0.44334277146776235,0.35622589801242044,1,0.19104979818252776,1.1910497981825277,0.19104979818252776,0.16360010725513224,0.5955248990912638,0.4388308289819588,0.46175053782410336,0,0,,
